Country Group Name,Subject Descriptor,Units,Scale,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
World,Volume of imports of goods,Percent change,,1.284,1.102,-1.478,2.656,9.935,3.163,6.56,6.879,9.714,7.907,6.578,5.126,6.445,2.917,10.785,10.285,7.149,11.04,4.893,6.224,13.037,0.088,4.079,6.985,11.27,8.344,9.484,8.057,3.001,-12.261,13.946,7.902,2.585,3.181,3.122,2.288,2.169,5.784,4.343,0.328,-5.722,11.321,3.78,2.043,2.955,3.684,3.712,3.61
World,Volume of exports of goods and services,Percent change,,4.244,4.234,-1.713,1.463,8.435,2.879,3.814,5.926,8.877,7.857,6.98,6.014,5.788,3.73,8.71,9.556,6.088,10.389,4.446,4.48,12.241,0.612,3.803,5.648,11.051,7.79,9.632,7.777,2.907,-9.891,12.966,6.86,3.254,3.514,3.609,3.024,2.322,5.548,3.822,0.951,-7.448,9.844,3.88,2.642,3.809,3.74,3.586,3.421
World,Volume of exports of goods,Percent change,,4.066,4.354,-2.236,1.869,8.994,3.427,3.719,6.136,9.488,7.675,6.304,6.694,6.591,4.157,9.234,10.098,5.895,11.104,4.121,5.002,12.964,0.299,3.85,6.339,11.006,7.916,9.606,7.194,2.549,-11.26,14.715,7.052,3.245,3.262,2.937,2.363,2.059,5.657,3.38,0.039,-4.209,10.226,2.006,1.96,3.365,3.513,3.415,3.328
World,Current account balance,U.S. dollars,Billions,-57.235,-83.002,-92.745,-76.953,-69.007,-64.732,-67.732,-65.442,-59.458,-85.635,-114.323,-154.599,-139.277,-69.766,-92.485,-78.08,-66.214,-9.909,-88.193,-104.878,-160.066,-188.91,-146.456,-82.434,12.633,55.248,182.975,217.264,89.656,161.39,288.896,312.796,370.624,394.241,386.824,196.854,269.823,467.424,343.193,375.861,337.694,683.256,227.085,322.155,361.779,312.832,215.425,128.427
World,Commodity Price Index includes both Fuel and Non-Fuel Price Indices,"Index, 2016=100",,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,51.169,49.801,52.109,55.798,59.59,56.123,47.306,47.983,60.391,56.192,55.851,65.644,79.167,97.715,114.121,129.182,162.639,115.971,145.364,181.474,172.518,167.838,156.809,107.891,100,113.289,126.19,116.863,105.874,161.265,227.208,225.298,205.312,191.1,184.801,181.119
World,Commodity Non-Fuel Price Index includes Food and Beverages and Industrial Inputs Price Indices,"Index, 2016=100",,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,53.141,52.995,58.621,62.642,63.068,59.457,54.194,49.398,51.055,48.941,50.913,57.551,66.147,71.472,87.026,102.222,114.171,97.486,122.485,147.049,135.545,128.273,120.878,100.274,100,106.445,107.812,108.46,115.556,145.92,156.542,146.767,145.744,145.202,145.554,145.873
World,Commodity Industrial Inputs Price Index includes Agricultural Raw Materials and Metals Price Indices,"Index, 2016=100",,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,54.559,52.574,60.533,70.039,63.383,61.133,49.656,49.634,54.876,48.404,48.635,56.571,71.787,83.66,120.908,144.253,134.286,113.946,169.463,195.612,159.517,153.141,136.066,104.061,100,117.409,123.803,125.747,128.133,179.244,172.005,153.039,151.376,150.995,151.183,151.562
World,"Crude Oil (petroleum), simple average of three spot prices; Dated Brent, West Texas Intermediate, and the Dubai Fateh, US$ per barrel",U.S. dollars,Units,37.919,36.949,32.948,29.81,28.743,27.624,14.439,18.17,14.723,17.832,22.86,19.379,18.997,16.801,15.921,17.213,20.466,19.269,13.176,18.128,28.387,24.402,24.934,28.828,37.715,53.513,64.408,71.214,96.79,61.404,79.026,103.829,103.698,103.578,94.055,50.821,43.223,52.861,66.15,61.214,41.829,69.415,98.186,85.518,80.198,76.249,73.275,70.995
World,"Crude Oil (petroleum),  Dated Brent, light blend 38 API, fob U.K., US$ per barrel",U.S. dollars,Units,37.919,36.949,32.948,29.81,28.743,27.624,14.474,18.408,14.964,18.23,23.707,20.075,19.358,17.085,15.96,17.199,20.809,19.31,13.126,18.108,28.845,24.714,25.115,28.779,38.234,54.684,65.605,72.653,97.33,61.581,79.807,111.539,112.012,108.962,99.345,53.023,45.079,54.887,71.613,64.198,43.334,70.831,100.527,88.637,83.435,79.624,76.812,74.64
World,"Oil; Dubai, medium, Fateh 32 API, fob Dubai Crude Oil (petroleum), Dubai Fateh Fateh 32 API, US$ per barrel",U.S. dollars,Units,35.846,34.294,31.757,28.468,27.509,26.508,13.039,16.949,13.261,15.692,20.468,16.589,17.176,14.965,14.705,16.128,18.526,18.154,12.213,17.191,26.23,22.822,23.774,26.811,33.76,49.358,61.517,68.571,93.407,61.205,78.198,105.604,109.097,105.604,96.514,50.908,41.47,53.138,69.17,63.162,42.607,68.961,97.262,84.415,79.197,75.386,72.574,70.535
World,"Crude Oil (petroleum), West Texas Intermediate 40 API, Midland Texas, US$ per barrel",U.S. dollars,Units,37.879,36.168,32.67,30.604,29.388,27.992,15.066,19.152,15.946,19.573,24.404,21.474,20.457,18.354,17.097,18.313,22.063,20.342,14.189,19.083,30.086,25.672,25.914,30.895,41.153,56.496,66.102,72.419,99.634,61.426,79.074,94.346,89.986,96.168,86.305,48.532,43.12,50.558,57.669,56.281,39.547,68.453,96.77,83.502,77.961,73.736,70.438,67.81
World,"Commodity Fuel (energy) Index includes Crude oil (petroleum), Natural Gas, and Coal Price Indices","Index, 2016=100",,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,47.9,44.871,42.331,45.596,54.291,50.916,37.221,45.813,73.531,66.255,62.452,77.352,98,135.675,153.314,168.179,232.747,142.709,178.457,231.27,226,225.068,208.782,118.91,100,123.19,152.773,129.018,91.869,183.461,329.425,338.89,291.477,257.491,241.571,232.101
World,"Crude Oil (petroleum), Price index simple average of three spot prices (APSP); Dated Brent, West Texas Intermediate, and the Dubai Fateh","Index, 2016=100",,86.134,82.846,75.144,68.583,66.083,63.372,32.83,42.04,34.05,41.224,52.847,44.779,43.934,38.85,36.838,39.838,47.333,44.596,30.492,41.96,65.671,56.464,57.712,66.714,87.22,123.784,149.058,164.823,224.071,142.217,182.995,240.293,240.081,239.797,217.755,117.644,100,122.382,153.132,141.748,96.862,160.723,227.32,197.944,185.621,176.473,169.585,164.308
World,"Commodity Natural Gas Price Index includes European, Japanese, and American Natural Gas Price Indices","Index, 2016=100",,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,57.745,63.624,57.432,58.839,73.662,69.425,56.795,58.339,106.154,102.277,84.139,120.93,132.299,192.954,186.969,191.204,268.2,152.893,162.269,203.064,208.984,212.046,212.113,139.385,100,115.885,144.582,91.526,71.714,253.674,645.994,817.657,642.871,514.633,455.656,425.254
World,"Natural Gas, Russian Natural Gas border price in Germany, US$ per million metric British thermal units of gas",U.S. dollars,Units,n/a,n/a,n/a,n/a,n/a,3.81,3.44,2.13,1.9,1.589,2.035,3.008,2.365,2.598,2.312,2.696,2.75,2.67,2.245,1.807,3.454,3.873,2.666,3.486,3.755,5.915,8.213,8.143,13.138,8.855,8.223,10.597,11.981,11.189,10.463,7.305,4.353,5.744,7.916,4.455,3.178,15.907,48.041,62.373,41.711,25.523,18.033,14.145
World,"Natural Gas, Indonesian Liquified Natural Gas in Japan, US$ per million metric British thermal units of liquid",U.S. dollars,Units,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3.744,3.598,3.285,3.557,3.903,3.761,2.754,3.343,5.235,4.669,4.427,4.981,5.891,7.033,8.049,8.411,11.591,7.491,9.381,15.553,18.145,17.339,16.998,10.958,7.439,7.247,9.795,5.445,4.366,18.6,40.485,57.415,57.415,57.415,57.415,57.415
World,"Natural Gas, Natural Gas spot price at the Henry Hub terminal in Louisiana, US$ per million metric British thermal units of gas",U.S. dollars,Units,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.451,1.751,2.114,1.915,1.704,2.689,2.46,2.088,2.261,4.308,3.959,3.361,5.507,5.908,8.895,6.74,6.982,8.858,3.946,4.386,4,2.752,3.728,4.276,2.63,2.553,3.019,3.069,2.529,2.13,3.716,7.408,6.341,5.071,4.743,4.619,4.57
World,Commodity Coal Price Index includes Australian and South African Coal,"Index, 2016=100",,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,53.817,52.75,49.892,43.279,45.214,55.434,53.179,49.374,41.687,37.313,39.351,49.338,39.495,43.288,82.919,71.922,76.882,98.373,192.189,104.445,145.769,182.639,144.5,126.651,110.149,89.045,100,132.739,156.791,113.955,94.846,199.939,516.487,485.182,412.967,371.997,374.883,375.578
World,"Coal, Australian thermal coal, 1200- btu/pound, less than 1% sulfur, 14% ash, FOB Newcastle/Port Kembla, US$ per metric tonne",U.S. dollars,Units,42.935,50.818,54.768,38.188,30.958,33.75,31.125,27.5,34.875,38,39.667,39.667,38.563,31.333,32.3,39.372,38.074,35.099,29.231,25.892,26.25,32.313,27.06,27.954,56.73,50.816,52.731,70.089,138.024,76.16,104.599,129.607,101.443,90.134,75.729,62.693,70.082,94.138,113.231,82.193,61.983,143.985,393.965,371.64,308.719,269.068,273.629,273.952
World,"Coal, South African export price, US$ per metric tonne",U.S. dollars,Units,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,32.875,31.5,28.833,26.958,28.563,35.229,33.518,31.349,26.839,24.273,26.57,33.864,26.011,30.076,54.684,45.953,50.583,62.315,120.741,64.559,91.658,116.173,92.924,80.324,72.303,57.097,64.419,84.486,97.925,71.265,65.223,125.247,303.299,283.488,248.283,231.946,231.471,232.071
World,Commodity Food and Beverage Price Index includes Food and Beverage Price Indices,"Index, 2016=100",,64.108,64.108,64.108,64.108,64.108,64.108,64.108,64.108,64.108,64.108,64.108,64.108,56.381,57.553,62.182,64.926,68.44,64.166,67.913,59.084,58.194,57.964,61.342,66.937,73.355,75.181,81.385,92.852,109.426,92.795,105.432,125.434,119.774,118.289,118.026,98.889,100,103.204,101.321,98.043,99.741,125.552,143.592,135.517,132.752,130.393,130.16,129.811
World,"Commodity Food Price Index includes Cereal, Vegetable Oils, Meat, Seafood, Sugar, Bananas, and Oranges Price Indices","Index, 2016=100",,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,57.437,58.27,59.86,62.55,68.103,62.174,66.943,58.789,59.028,59.602,62.708,68.502,75.374,76.309,82.418,93.92,110.416,92.869,105.392,124.971,120.873,120.489,118.594,98.538,100,103.796,102.505,99.37,101.041,127.434,145.559,137.07,134.272,131.758,131.506,131.127
World,"Commodity Cereals Price Index includes Wheat, Maize (Corn), Rice, and Barley","Index, 2016=100",,101.64,105.832,87.122,91.806,89.758,76.988,63.972,62.578,82.592,91.24,80.11,78.675,83.309,77.857,83.156,98.973,115.516,88.621,74.46,64.201,62.607,64.665,76.283,77.242,80.838,78.332,96.999,129.172,178.045,126.28,130.977,182.887,186.788,170.487,140.838,115.004,100,100.982,114.881,109.881,119.128,167.586,205.787,192.704,187.052,176.944,176.944,176.944
World,"Wheat, No.1 Hard Red Winter, ordinary protein, FOB Gulf of Mexico, US$ per metric tonne",U.S. dollars,Units,172.726,174.961,160.355,157.416,152.333,135.829,114.916,112.895,145.199,169.243,135.523,128.658,151.161,140.212,149.783,176.96,197.229,149.513,114.465,98.261,100.739,106.373,132.167,131.919,134.391,129.674,169.139,231.185,292.967,192.107,195.23,280.282,276.33,265.686,242.899,185.866,143.201,145.294,186.129,163.258,185.513,265.793,348.033,317.894,309.77,288.282,288.282,288.282
World,"Maize (corn), U.S. No.2 Yellow, FOB Gulf of Mexico, U.S. price, US$ per metric tonne",U.S. dollars,Units,125.716,130.604,108.099,135.984,135.82,112.331,87.791,75.521,106.95,111.368,109.28,107.473,104.213,102.04,107.778,123.451,164.523,117.172,101.618,90.294,88.219,89.609,99.333,105.245,111.895,98.508,121.647,163.61,223.36,165.628,185.957,291.854,298.438,258.979,192.939,169.845,159.221,154.595,164.511,170.169,165.578,259.395,311.332,296.02,278.911,258.189,258.189,258.189
World,"Rice, 5 percent broken milled white rice, Thailand nominal price quote, US$ per metric tonne",U.S. dollars,Units,433.667,482.833,293.375,276.833,252.25,217.417,195.667,214.417,277.25,299.75,270.667,293.667,267.667,237.25,269.458,320.801,338.064,302.469,305.424,248.968,203.695,172.705,191.826,199.461,245.783,287.811,303.515,332.393,700.2,589.376,520.494,551.711,580.236,519.308,426.475,380.047,388.265,399.075,403.082,396.514,477.838,441.963,422.787,438.247,438.247,438.247,438.247,438.247
World,"Barley, Canadian no.1 Western Barley, spot price, US$ per metric tonne",U.S. dollars,Units,78.229,79.726,63.712,70.891,78.723,58.816,47.56,55.001,70.333,75.139,79.926,78.287,78.675,71.377,72.649,104.012,119.665,97.237,85.054,75.937,77.235,93.936,108.967,104.718,98.989,95.077,116.615,172.381,200.476,128.381,158.374,207.219,238.583,200.833,132.501,100.278,97.809,101.66,104.36,110.435,104.626,178.085,248.141,240.3,240.3,240.3,240.3,240.3
World,"Commodity Vegetable Oil Index includes Soybean, Soybean Meal, Soybean Oil, Rapeseed Oil, Palm Oil, Sunflower Oil, Olive Oil, Fishmeal, and Groundnut Price Indices","Index, 2016=100",,69.429,66.63,55.874,64.365,74.5,58.071,45.907,49.356,68.208,60.59,55.235,54.87,56.03,60.074,67.754,71.56,76.786,75.876,70.821,52.765,47.951,46.508,55.776,67.123,77.926,72.695,72.695,97.095,135.146,102.638,113.263,142.574,143.143,132.139,118.861,95.706,100,101.16,95.446,90.543,99.252,146.988,162.68,143.539,138.673,137.854,137.854,137.854
World,"Soybeans, U.S. soybeans, Chicago Soybean futures contract (first contract forward) No. 2 yellow and par, US$ per metric tonne",U.S. dollars,Units,265.316,261.404,221.29,259.616,257.505,202.979,188.948,195.506,279.724,246.986,219.1,208.779,209.803,230.138,229.51,224.015,277.458,280.603,223.29,174.919,183.052,168.755,188.866,233.187,276.633,223.15,217.454,317.32,452.943,378.546,384.945,484.246,537.762,517.204,457.814,347.356,362.707,358.824,342.528,327.002,349.877,505.101,566.714,505.413,484.435,484.435,484.435,484.435
World,"Soybean Meal, Chicago Soybean Meal Futures (first contract forward) Minimum 48 percent protein, US$ per metric tonne",U.S. dollars,Units,225.683,225.244,195.434,222.666,191.197,145.411,166.902,184.496,259.845,234.045,192.387,192.332,196.301,216.526,199.013,198.546,266.379,279.875,174.727,152.565,187.17,180.612,183.981,214.655,257.145,205.778,193.975,263.673,367.938,359.284,331.317,378.861,473.284,477.299,466.966,352.722,350.168,348.614,373.312,334.561,351.126,421.995,482.53,424.495,398.6,387.628,387.628,387.628
World,"Soybean Oil, Chicago Soybean Oil Futures (first contract forward) exchange approved grades, US$ per metric tonne",U.S. dollars,Units,535.465,493.376,403.262,511.251,647.938,571.603,364.387,366.904,529.66,453.454,492.145,446.693,433.189,503.149,603.037,584.684,544.229,525.857,562.49,392.404,351.821,346.989,409.839,500.201,590.417,495.8,551.496,799.656,1133.79,787.04,924.82,1215.82,1151.75,1011.11,812.71,672.17,721.16,735.28,658.63,645.32,690.01,1277.44,1538.92,1381.03,1301.13,1281.49,1281.49,1281.49
World,"Rapeseed oil, crude, FOB Rotterdam, US$ per metric ton",U.S. dollars,Units,572.368,484.714,418.538,501.561,688.345,540.95,359.387,347.333,537.97,476.598,428.487,416.553,405.098,460.883,621.263,632.711,563.07,562.833,630.475,428.688,346.24,391.879,479.183,603.578,713.201,720.966,851.318,1011.86,1423.71,856.18,1011.75,1366.63,1239.08,1080.86,904.37,774.61,821.95,871.95,829.63,853.66,888.53,1265.78,1226.96,1182.62,1182.62,1182.62,1182.62,1182.62
World,"Palm oil, Malaysia Palm Oil Futures (first contract forward) 4-5 percent FFA, US$ per metric tonne",U.S. dollars,Units,481.84,471.579,367.801,414.353,602.283,413.94,212.376,283.03,361.259,289.572,239.508,280.138,325.33,312.142,437.271,537.622,467.152,490.428,600.847,377.277,261.144,238.398,356.744,410.374,434.722,367.685,416.827,719.148,863.11,644.01,859.94,1076.50,939.83,764.20,739.41,565.09,639.85,647.80,559.86,523.95,666.06,1073.52,1209.77,958.47,915.64,908.71,908.71,908.71
World,"Sunflower Oil, US export price from Gulf of Mexico, US$ per metric tonne",U.S. dollars,Units,556.013,561.653,464.602,490.531,673.72,584.951,463.629,450.078,595.18,606.198,603.572,587.115,562.181,682.172,723.53,631.71,560.392,556.892,665.228,466.463,379.327,436.109,605.827,649.997,734.407,"1,144.54",713.111,673,1693.65,1041.67,1186.00,1621.84,1489.48,1341.22,1080.31,1022.18,1009.74,953.03,900.81,883.51,1056.51,1718.91,2020.83,1839.85,1839.85,1839.85,1839.85,1839.85
World,"Olive Oil, extra virgin less than 1% free fatty acid, ex-tanker price U.K., US$ per metric tonne",U.S. dollars,Units,2144.46,1956.69,1872.44,1872.48,1855.76,1938.04,2104.03,2278.96,2299.33,2442.77,3212.48,3184.86,3177.94,2703.64,3148.84,4499.51,5965.18,4236.48,3227.05,3650.44,2980.12,2667.28,2900.51,3796.77,4630.93,5519.16,5487.70,4561.03,4167.45,3509.33,3171.27,3062.24,3019.37,3894.46,3780.56,4292.84,3978.47,4529.80,3911.73,3166.33,2628.34,4184.76,4140.47,4065.02,4065.02,4065.02,4065.02,4065.02
World,"Fishmeal, Peru Fish meal/pellets 65% protein, CIF, US$ per metric tonne",U.S. dollars,Units,1013.51,939.34,710.78,909.20,749.80,548.34,576.71,647.55,703.57,647.96,651.36,525.39,517.72,404.52,403.16,521.47,629.27,645.95,709.00,433.11,452.09,530.05,645.56,650.20,692.90,744.23,1074.28,1185.46,1160.19,1255.85,1739.22,1519.25,1624.30,1711.80,1921.47,1759.21,1418.45,1161.28,1350.10,1251.03,1290.05,1442.45,1438.27,1398.52,1398.52,1398.52,1398.52,1398.52
World,"Groundnuts (peanuts), 40/50 (40 to 50 count per ounce), cif Argentina, US$ per metric tonne",U.S. dollars,Units,1394.64,1418.14,933.27,1088.72,943.52,774.95,855.71,595.46,640.76,788.53,1065.56,1069.46,649.32,927.64,921.03,816.67,810.11,874.21,795.10,762.64,785.51,753.25,654.93,855.90,910.00,769.11,828.86,1177.47,1567.72,994.62,1239.38,1724.04,1688.18,2318.16,2148.27,1946.21,1798.30,1949.41,2048.38,1846.10,1935.61,2085.86,2382.66,2401.37,2401.37,2401.37,2401.37,2401.37
World,"Commodity Meat Price Index includes Beef, Lamb, Swine (pork), and Poultry Price Indices","Index, 2016=100",,86.25,90.88,111.50,96.82,94.26,92.03,98.31,99.12,81.82,76.07,95.27,89.20,71.55,79.14,72.27,70.01,87.07,78.17,61.11,61.06,69.26,74.42,68.15,71.43,88.07,86.87,82.87,85.55,88.58,82.25,99.26,114.49,110.08,112.98,134.01,109.56,100.00,109.89,106.51,111.87,102.76,136.33,161.52,164.16,164.16,164.16,164.16,164.16
World,"Beef, Australian and New Zealand 85% lean fores, FOB U.S. import price, US cents per pound",U.S. cents,Units,125.19,112.12,108.39,110.67,103.11,97.67,94.98,108.18,114.17,116.46,116.27,120.83,111.34,118.74,105.82,86.50,80.97,84.17,78.30,83.14,87.79,96.54,95.40,89.74,113.91,118.73,115.64,118.04,121.10,119.62,152.48,183.18,187.94,183.56,224.06,200.49,178.21,191.51,183.56,209.70,200.44,235.96,272.93,300.84,300.84,300.84,300.84,300.84
World,"Lamb, frozen carcass Smithfield London, US cents per pound",U.S. cents,Units,131.17,124.98,108.65,87.88,87.70,83.56,92.57,98.45,109.46,105.31,121.14,104.88,115.42,124.12,125.67,113.24,145.46,150.28,116.01,115.82,112.85,130.25,146.04,159.81,165.76,160.92,153.61,161.71,170.72,146.94,145.62,149.15,101.31,105.85,136.40,104.49,91.35,108.52,115.70,115.84,116.16,146.57,146.90,135.57,135.57,135.57,135.57,135.57
World,"Swine (pork), 51-52% lean Hogs, U.S. price, US cents per pound",U.S. cents,Units,82.06,98.20,144.03,116.32,113.13,112.41,123.55,118.33,77.54,63.93,100.55,89.00,56.48,64.52,56.41,62.80,92.49,72.86,45.62,44.41,59.29,61.43,47.26,53.40,71.01,67.67,63.86,63.67,64.65,55.75,74.45,89.37,82.78,86.55,102.81,67.91,62.41,68.30,62.17,64.84,58.38,90.92,100.72,95.48,95.48,95.48,95.48,95.48
World,"Poultry (chicken), Whole bird spot price, Georgia docks, US cents per pound",U.S. cents,Units,34.34,35.11,34.46,35.02,39.64,38.01,41.98,41.20,45.49,49.87,49.08,47.90,47.97,54.68,55.28,55.48,62.31,60.99,63.15,59.97,59.45,63.63,63.08,66.18,75.71,73.91,69.23,78.19,84.63,85.67,85.85,87.39,94.31,103.87,110.10,114.68,111.43,125.61,131.30,119.29,98.65,136.03,200.05,197.10,197.10,197.10,197.10,197.10
World,Commodity Seafood Index includes Fish (salmon) and Shrimp Price Indices,"Index, 2016=100",,95.29,86.92,88.15,81.36,72.43,74.74,85.07,98.29,93.01,74.12,74.96,71.49,75.98,71.13,73.58,73.99,64.78,66.71,65.97,62.18,63.95,57.10,53.12,56.62,58.24,63.96,74.20,68.80,73.21,71.01,84.26,86.40,74.05,96.19,101.79,83.03,100.00,104.90,103.17,95.04,85.62,94.03,109.70,103.11,96.90,89.65,87.83,85.11
World,"Fish (salmon), Farm Bred Norwegian Salmon, export price, US$ per kilogram",U.S. dollars,Units,7.98,7.25,6.64,5.80,5.25,5.58,6.48,8.06,7.30,5.38,5.90,5.36,5.90,5.01,5.01,4.78,4.11,3.73,3.72,3.57,3.65,2.89,2.94,2.99,3.34,4.06,5.06,4.55,4.85,4.92,6.14,5.96,4.75,6.72,6.60,5.31,7.14,7.44,7.52,6.92,6.10,6.86,8.61,7.99,7.30,6.49,6.28,5.98
World,"Shrimp, Frozen shell-on headless, block 16/20 count, Indian origin, C&F Japan, US$ per kilogram",U.S. dollars,Units,5.64,5.21,6.80,6.95,6.01,5.86,6.41,6.18,6.54,6.15,5.23,5.55,5.48,6.22,6.79,7.39,6.61,7.89,7.73,7.15,7.40,7.38,6.34,7.05,6.70,6.52,6.83,6.65,7.05,6.37,6.92,7.82,7.47,8.53,10.10,8.40,8.54,9.05,8.47,7.83,7.33,7.71,7.72,7.47,7.47,7.47,7.47,7.47
World,"Commodity Sugar Index includes European, Free market, and U.S. Price Indices","Index, 2016=100",,153.08,90.93,48.91,49.97,33.67,27.48,37.60,41.42,58.57,71.78,70.47,52.33,52.70,57.53,68.04,74.21,67.40,64.50,52.22,38.73,47.10,48.55,38.52,42.14,44.87,57.58,81.36,56.90,69.49,98.84,114.87,143.74,116.48,95.52,93.96,74.54,100.00,88.65,69.94,70.72,73.67,100.75,105.12,99.88,95.90,94.60,94.60,94.60
