Country Group Name,Subject Descriptor,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,Estimates Start After
Latin America and the Caribbean,"Gross domestic product, constant prices",Percent change,,,6.449,0.885,-0.477,-2.831,3.931,3.237,4.264,3.303,1.08,1.124,0.64,3.845,3.341,4.021,4.744,1.306,3.822,5.338,2.5,0.166,3.679,0.616,0.411,2.021,6.124,4.402,5.446,5.595,3.981,-1.946,6.115,4.598,2.954,2.897,1.34,0.374,-0.605,1.36,1.196,0.17,-6.985,6.903,3.471,1.742,2.357,2.546,2.526,2.397,
Middle East and Central Asia,"Gross domestic product, constant prices",Percent change,,,-1.93,-0.16,0.387,0.691,0.257,1.188,1.999,-0.07,3.312,4.3,8.699,8.581,4.911,0.188,1.419,1.744,4.448,2.958,3.616,2.32,5.515,2.489,3.142,10.195,8.83,5.862,6.229,5.938,4.853,1.221,4.986,4.534,5.045,2.933,3.44,2.973,4.219,2.588,2.649,1.66,-2.701,4.494,4.954,3.607,3.536,3.614,3.663,3.742,
Sub-Saharan Africa,"Gross domestic product, constant prices",Percent change,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.148,-0.06,1.625,1.825,3.87,4.793,3.525,2.417,2.367,3.992,4.635,6.259,4.826,6.844,6.226,5.964,6.543,5.671,3.655,6.91,4.988,4.766,4.907,4.992,3.186,1.492,2.955,3.334,3.177,-1.649,4.699,3.58,3.71,4.084,4.17,4.254,4.368,
World,"Gross domestic product, constant prices",Percent change (market exchange rates),,,1.646,2.004,0.462,2.798,4.828,3.686,3.383,3.755,4.578,3.805,3.145,1.971,2.536,1.415,3.162,2.923,3.339,3.5,2.339,3.161,4.219,1.674,1.896,2.862,4.033,3.56,3.943,3.836,1.601,-2.01,4.179,3.082,2.492,2.609,2.833,2.843,2.624,3.288,3.188,2.485,-3.361,5.781,2.871,2.147,2.627,2.88,2.891,2.786,
World,"Gross domestic product, current prices",U.S. dollars,Billions,,"11,238.27","11,498.28","11,286.62","11,589.05","12,001.66","12,531.04","14,776.09","17,013.02","19,131.41","20,127.80","23,663.34","24,504.03","25,339.14","26,051.09","27,998.30","31,211.51","32,079.20","31,990.92","31,835.02","32,960.33","34,053.08","33,801.01","34,915.51","39,210.20","44,134.37","47,811.37","51,783.27","58,461.91","64,162.47","60,782.12","66,484.53","73,773.48","75,196.67","77,365.52","79,429.02","74,944.46","76,211.25","81,036.15","86,209.63","87,654.34","85,440.67","97,076.28","1,01,560.90","1,06,181.92","1,11,882.43","1,18,042.55","1,24,648.36","1,31,630.73",
Advanced economies,"Gross domestic product, current prices",U.S. dollars,Billions,,"8,481.75","8,616.96","8,556.58","8,902.99","9,311.17","9,804.76","11,974.09","13,924.45","15,733.16","16,411.92","18,421.72","19,676.08","21,166.57","21,323.63","22,887.58","25,339.79","25,515.88","25,016.47","25,106.38","26,438.37","26,896.84","26,620.37","27,772.67","31,152.85","34,556.48","36,358.47","38,233.51","41,767.23","44,116.42","41,619.13","43,463.84","46,670.45","46,507.23","46,919.86","48,001.39","45,416.87","46,639.12","48,645.94","51,493.32","51,984.19","50,784.11","56,150.14","57,328.82","59,551.97","62,120.66","64,789.21","67,577.33","70,302.37",
Euro area,"Gross domestic product, current prices",U.S. dollars,Billions,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"6,094.43","6,721.27","6,109.07","6,453.16","7,616.18","7,732.20","6,942.05","7,106.87","7,117.33","6,488.96","6,584.53","7,181.98","8,843.84","10,137.50","10,511.56","11,166.87","12,865.97","14,147.36","12,918.83","12,648.66","13,634.94","12,646.55","13,195.70","13,512.60","11,675.80","11,969.38","12,674.21","13,703.61","13,417.84","13,065.47","14,558.64","13,973.89","14,224.30","14,935.33","15,625.19","16,302.30","16,963.10",
Major advanced economies (G7),"Gross domestic product, current prices",U.S. dollars,Billions,,"6,903.47","7,120.25","7,088.52","7,479.93","7,871.56","8,345.73","10,100.21","11,610.01","13,059.74","13,556.05","14,993.05","16,064.26","17,248.23","17,591.91","18,805.06","20,503.35","20,467.02","20,197.38","20,467.69","21,577.20","22,091.49","21,831.44","22,512.22","24,852.90","27,297.16","28,497.70","29,722.68","31,930.52","33,482.58","31,881.59","33,106.59","35,209.91","35,377.35","35,394.99","36,251.56","34,798.88","35,777.46","37,005.88","39,059.20","39,744.62","38,743.30","42,426.06","43,540.78","45,275.21","47,133.18","49,094.88","51,157.52","53,146.30",
Other advanced economies (Advanced economies excluding G7 and euro area),"Gross domestic product, current prices",U.S. dollars,Billions,,775.14,790.704,785.51,783.949,821.762,819.32,999.282,"1,230.12","1,450.28","1,577.35","1,817.07","1,930.31","2,059.71","2,033.21","2,283.19","2,691.35","2,869.92","2,780.95","2,509.87","2,688.23","2,777.10","2,694.54","2,930.39","3,376.64","3,857.16","4,252.75","4,606.48","5,268.05","5,566.41","5,118.49","5,893.17","6,733.13","6,786.57","7,016.96","7,146.59","6,576.38","6,710.01","7,210.74","7,591.87","7,451.06","7,389.85","8,489.33","8,622.65","8,972.76","9,383.79","9,808.55","10,254.13","10,712.43",
European Union,"Gross domestic product, current prices",U.S. dollars,Billions,,"3,211.44","2,838.54","2,751.31","2,690.14","2,588.63","2,666.88","3,658.86","4,484.22","4,950.12","5,039.02","6,212.35","6,625.88","7,317.74","6,682.52","7,084.17","8,283.30","8,417.95","7,730.27","7,966.44","7,925.82","7,270.54","7,383.30","8,067.18","9,915.27","11,398.27","11,901.08","12,699.23","14,718.10","16,290.09","14,747.21","14,567.78","15,757.20","14,643.95","15,299.68","15,655.66","13,552.85","13,889.69","14,762.99","15,983.06","15,692.53","15,346.10","17,165.43","16,613.06","17,008.47","17,910.75","18,797.10","19,652.23","20,498.45",
Emerging market and developing economies,"Gross domestic product, current prices",U.S. dollars,Billions,,"2,756.51","2,881.32","2,730.04","2,686.06","2,690.48","2,726.28","2,801.99","3,088.56","3,398.24","3,715.88","5,241.62","4,827.95","4,172.57","4,727.47","5,110.73","5,871.73","6,563.32","6,974.45","6,728.64","6,521.97","7,156.25","7,180.65","7,142.84","8,057.35","9,577.90","11,452.90","13,549.77","16,694.68","20,046.05","19,163.00","23,020.68","27,103.04","28,689.45","30,445.66","31,427.63","29,527.59","29,572.13","32,390.21","34,716.30","35,670.15","34,656.56","40,926.14","44,232.08","46,629.96","49,761.77","53,253.34","57,071.03","61,328.36",
Emerging and developing Asia,"Gross domestic product, current prices",U.S. dollars,Billions,,767.344,762.23,777.961,821.919,862.969,839.502,863.275,944.93,"1,054.52","1,123.68","1,128.85","1,137.43","1,287.33","1,455.88","1,520.20","1,818.18","2,059.46","2,138.59","1,980.65","2,174.13","2,334.49","2,464.19","2,699.56","3,078.30","3,570.96","4,125.85","4,891.39","6,198.68","7,457.15","8,103.87","9,767.54","11,666.45","12,862.23","14,077.54","15,209.40","15,824.89","16,274.64","17,896.51","19,732.36","20,567.99","20,820.12","24,474.68","25,627.82","27,194.19","29,321.89","31,776.58","34,449.64","37,442.11",
Emerging and developing Europe,"Gross domestic product, current prices",U.S. dollars,Billions,,256.72,267.69,272.362,270.481,260.601,269.823,285.839,305.851,343.579,360.173,"1,415.88","1,213.00",499.786,672.318,738.454,887.518,"1,012.18","1,072.24",956.84,826.627,913.52,934.644,"1,060.79","1,309.16","1,689.59","2,096.34","2,500.45","3,203.19","3,934.70","3,083.26","3,588.42","4,194.50","4,323.67","4,573.78","4,306.79","3,344.22","3,285.49","3,706.12","3,865.10","3,940.25","3,680.13","4,297.85","4,556.01","4,759.64","5,013.04","5,270.29","5,547.83","5,853.22",
ASEAN-5,"Gross domestic product, current prices",U.S. dollars,Billions,,231.915,232.519,246.687,250.416,284.515,235.356,253.181,273.265,281.621,295.54,332.686,370.803,421.259,471.441,535.419,621.186,693.613,647.893,416.705,503.984,531.015,515.884,585.687,664.867,746.056,830.875,"1,000.34","1,190.43","1,397.40","1,376.12","1,706.61","1,971.69","2,092.97","2,161.71","2,171.88","2,106.49","2,218.25","2,396.81","2,558.19","2,733.46","2,604.22","2,826.54","3,073.72","3,332.10","3,582.19","3,873.20","4,167.76","4,503.99",
Latin America and the Caribbean,"Gross domestic product, current prices",U.S. dollars,Billions,,863.569,933.167,765.725,697.021,726.13,779.259,774.959,822.515,926.503,"1,040.52","1,162.66","1,250.95","1,370.47","1,544.41","1,763.21","1,895.76","2,059.16","2,255.58","2,270.59","2,035.68","2,225.52","2,168.42","1,921.01","1,954.91","2,243.34","2,726.73","3,200.76","3,797.80","4,424.54","4,093.75","5,107.04","5,901.80","5,990.43","6,061.01","6,005.21","5,086.92","4,904.34","5,458.74","5,319.38","5,208.22","4,343.46","5,033.22","5,734.33","6,085.80","6,367.05","6,629.15","6,921.14","7,255.20",
Middle East and Central Asia,"Gross domestic product, current prices",U.S. dollars,Billions,,551.429,582.447,575.412,584.843,593.461,611.781,620.472,735.409,772.056,884.263,"1,122.47",808.857,599.861,640.905,687.03,776.478,880.504,933.928,944.925,"1,065.77","1,258.49","1,208.27","1,024.48","1,164.82","1,397.80","1,708.68","2,044.75","2,443.07","3,025.31","2,723.96","3,185.22","3,766.29","3,857.68","3,994.52","4,091.53","3,649.01","3,598.59","3,714.63","4,048.45","4,191.41","4,147.65","5,244.78","6,276.63","6,406.51","6,692.00","7,010.45","7,364.22","7,749.84",
Sub-Saharan Africa,"Gross domestic product, current prices",U.S. dollars,Billions,,317.448,335.785,338.575,311.794,247.323,225.913,257.448,279.859,301.583,307.242,411.766,417.711,415.127,413.958,401.828,493.785,552.019,574.123,575.637,419.764,424.228,405.134,436.998,550.155,676.196,795.304,912.413,"1,051.94","1,204.35","1,158.15","1,372.45","1,574.01","1,655.44","1,738.81","1,814.70","1,622.55","1,509.07","1,614.23","1,751.02","1,762.29","1,665.21","1,875.60","2,037.30","2,183.82","2,367.80","2,566.87","2,788.20","3,027.99",
World,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,"13,400.21","14,930.38","15,909.30","16,934.33","18,321.23","19,579.82","20,669.48","21,981.84","23,788.83","25,630.20","27,659.31","29,295.59","33,270.15","34,719.28","36,509.06","38,640.04","40,857.98","43,242.68","44,926.54","47,125.48","50,498.20","52,878.46","55,218.31","58,589.63","63,335.22","68,426.92","74,266.03","80,392.86","84,371.97","84,583.96","90,151.34","95,701.82","1,00,691.80","1,05,648.96","1,09,595.08","1,11,857.08","1,16,168.54","1,22,351.47","1,29,708.97","1,35,641.45","1,32,936.14","1,46,607.92","1,61,449.51","1,71,548.57","1,80,655.43","1,90,126.13","2,00,153.60","2,10,591.31",
Advanced economies,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,"8,412.10","9,389.50","9,987.87","10,705.69","11,624.88","12,436.82","13,101.90","13,933.18","15,110.69","16,324.40","17,446.37","18,311.60","19,182.38","19,944.57","21,044.71","22,279.27","23,373.65","24,607.77","25,565.26","26,846.91","28,578.37","29,680.23","30,633.72","31,865.69","33,783.61","35,816.96","38,043.27","40,127.84","41,021.74","39,888.72","41,624.62","43,221.81","44,539.22","46,343.13","47,852.05","49,425.65","51,289.57","53,605.35","56,129.89","58,123.77","56,159.90","61,514.18","67,473.47","70,634.00","73,257.66","76,025.95","78,914.80","81,769.63",
Major advanced economies (G7),"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,"6,773.78","7,561.96","8,021.18","8,610.77","9,364.21","10,027.20","10,544.09","11,184.01","12,123.75","13,076.45","13,941.80","14,583.91","15,231.18","15,766.29","16,584.07","17,353.66","18,157.19","19,060.51","19,819.12","20,731.35","21,992.99","22,760.87","23,385.05","24,286.88","25,659.36","27,134.42","28,690.40","30,068.01","30,627.48","29,676.09","30,903.44","32,059.17","33,108.64","34,422.56","35,562.14","36,647.78","37,910.50","39,517.82","41,305.43","42,715.31","41,145.11","45,012.21","49,188.98","51,351.21","53,088.36","55,012.10","57,037.42","59,007.94",
Other advanced economies (Advanced economies excluding G7 and euro area),"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,763.218,869.908,942.651,"1,016.46","1,121.79","1,206.89","1,297.46","1,413.42","1,540.93","1,674.31","1,810.30","1,937.77","2,058.62","2,194.07","2,377.58","2,699.86","2,881.26","3,067.42","3,128.11","3,343.99","3,620.99","3,796.72","4,004.81","4,196.82","4,533.64","4,868.50","5,259.96","5,679.36","5,892.93","5,877.14","6,294.43","6,644.08","6,857.58","7,194.90","7,437.66","7,692.86","8,007.18","8,391.51","8,829.41","9,161.39","9,084.95","9,959.25","10,962.39","11,601.29","12,141.67","12,654.69","13,189.10","13,740.15",
European Union,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,"3,469.08","3,798.68","4,055.72","4,285.86","4,550.55","4,797.85","5,024.46","5,281.09","5,673.70","6,105.95","6,497.22","6,802.37","7,100.80","7,275.95","7,627.45","8,177.51","8,487.92","8,857.23","9,220.84","9,616.95","10,219.29","10,685.13","10,987.31","11,328.62","11,951.11","12,585.30","13,454.37","14,279.70","14,681.02","14,148.01","14,616.16","15,190.98","15,420.27","15,968.30","16,446.12","16,996.20","18,076.31","19,134.63","20,020.60","20,784.86","19,833.78","21,755.44","24,048.86","25,068.04","26,121.56","27,184.67","28,248.37","29,296.17",
Emerging market and developing economies,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,"4,988.11","5,540.89","5,921.43","6,228.64","6,696.35","7,143.01","7,567.58","8,048.66","8,678.14","9,305.80","10,212.94","10,983.99","14,087.77","14,774.71","15,464.34","16,360.77","17,484.33","18,634.91","19,361.28","20,278.57","21,919.83","23,198.23","24,584.58","26,723.94","29,551.61","32,609.96","36,222.76","40,265.02","43,350.23","44,695.24","48,526.72","52,480.01","56,152.58","59,305.83","61,743.04","62,431.43","64,878.97","68,746.13","73,579.07","77,517.67","76,776.24","85,093.74","93,976.04","1,00,914.57","1,07,397.77","1,14,100.19","1,21,238.80","1,28,821.68",
Emerging and developing Asia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,"1,193.20","1,382.44","1,541.65","1,712.46","1,901.68","2,098.56","2,270.46","2,494.97","2,822.41","3,115.62","3,420.37","3,745.77","4,163.74","4,641.52","5,178.32","5,755.90","6,351.99","6,851.44","7,113.36","7,674.94","8,353.97","9,051.36","9,797.17","10,812.84","12,033.43","13,553.34","15,364.37","17,526.41","19,147.33","20,717.09","22,974.02","25,286.56","27,792.27","29,609.91","31,174.40","32,439.50","34,251.49","36,419.09","39,677.12","42,485.36","42,654.76","47,582.12","53,181.64","57,754.33","62,030.70","66,507.89","71,287.90","76,377.60",
Emerging and developing Europe,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"3,088.92","3,004.73","2,793.24","2,834.93","2,893.11","3,063.30","3,068.02","3,185.01","3,510.15","3,679.13","3,914.96","4,236.72","4,688.47","5,135.56","5,683.35","6,252.83","6,642.99","6,290.29","6,644.89","7,174.20","7,587.85","8,147.43","8,375.15","8,361.09","8,656.03","9,311.29","9,859.81","10,286.74","10,225.74","11,366.38","11,664.29","12,136.25","12,699.20","13,232.63","13,785.36","14,358.88",
ASEAN-5,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,431.958,502.268,553.903,600.836,649.434,680.683,731.093,796.516,893.263,"1,013.35","1,139.14","1,263.93","1,379.30","1,519.55","1,669.14","1,841.58","2,015.75","2,126.44","1,968.83","2,054.77","2,215.79","2,342.55","2,500.49","2,695.10","2,932.88","3,187.17","3,467.02","3,783.17","4,062.19","4,189.44","4,530.75","4,845.44","5,280.40","5,547.71","5,787.36","5,919.83","6,244.28","6,634.42","7,157.67","7,639.02","7,458.15","8,027.55","9,054.22","9,833.49","10,570.28","11,325.30","12,132.73","12,989.43",
Latin America and the Caribbean,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,"1,602.40","1,763.82","1,862.31","1,877.94","2,021.68","2,148.99","2,281.67","2,414.21","2,523.23","2,641.97","2,752.98","2,952.57","3,116.67","3,317.77","3,547.14","3,659.51","3,866.97","4,142.27","4,291.41","4,355.42","4,616.37","4,747.48","4,830.75","5,020.18","5,465.35","5,881.49","6,390.90","6,927.30","7,338.40","7,235.94","7,765.00","8,289.39","8,579.55","8,961.90","9,225.93","9,168.10","9,313.11","9,731.77","10,063.18","10,233.46","9,607.87","10,686.59","11,834.61","12,466.04","13,025.35","13,601.04","14,205.60","14,826.88",
Middle East and Central Asia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,"1,286.50","1,396.79","1,448.12","1,497.01","1,545.31","1,604.49","1,649.36","1,682.86","1,787.46","1,926.22","2,183.80","2,432.22","2,858.39","2,917.62","3,018.90","3,128.42","3,325.57","3,477.87","3,721.40","3,852.70","4,153.88","4,347.90","4,565.73","5,079.67","5,640.27","6,152.56","6,724.04","7,306.23","7,799.30","7,930.18","8,418.47","8,780.72","9,137.02","9,327.39","9,480.67","8,895.25","8,990.16","9,465.35","9,941.63","10,275.61","10,077.93","10,869.41","12,204.70","13,091.91","13,837.07","14,600.96","15,421.05","16,304.81",
Sub-Saharan Africa,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,343.378,387.819,413.739,429.17,460.421,480.418,503.472,529.246,569.204,607.192,813.63,841.143,860.057,893.071,926.753,982.006,"1,046.71","1,100.03","1,167.09","1,210.50","1,285.45","1,372.36","1,475.98","1,574.54","1,724.10","1,887.00","2,060.11","2,252.26","2,422.22","2,521.74","2,724.34","2,949.15","3,055.90","3,259.20","3,486.90","3,567.50","3,668.19","3,818.62","4,037.34","4,236.50","4,209.94","4,589.24","5,090.79","5,466.05","5,805.46","6,157.67","6,538.88","6,953.52",
Advanced economies,"Gross domestic product, deflator","Index, 2000=100",,,42.798,46.999,50.818,53.956,57.191,60.027,62.285,64.199,66.651,69.563,72.666,76.545,78.938,81.109,82.919,84.871,86.543,87.888,89.054,89.846,91.339,93.067,94.468,96.032,97.939,100,102.119,104.462,106.46,107.177,108.138,109.607,110.994,112.456,114.079,115.519,116.64,118.363,120.42,122.232,124.032,127.651,134.694,139.71,142.791,145.346,147.913,150.532,
Euro area,"Gross domestic product, deflator","Index, 2000=100",,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,65.135,67.611,68.878,70.245,73.166,75.061,74.906,75.703,76.913,77.982,79.905,81.868,83.693,85.315,86.915,88.678,90.885,92.761,93.615,94.238,95.244,96.474,97.669,98.592,100,100.915,102.04,103.599,105.369,107.176,109.423,114.114,119.185,122.617,125.106,127.48,129.877,
Major advanced economies (G7),"Gross domestic product, deflator","Index, 2000=100",,,48.563,52.967,56.717,59.57,62.01,64.243,66.198,67.903,70.139,72.874,75.756,79.673,81.852,83.723,85.179,86.804,88.227,89.268,90.117,90.849,92.063,93.55,94.74,96.199,98.019,100,102.021,104.166,105.892,106.486,107.256,108.724,110.163,111.686,113.551,114.845,115.991,117.644,119.741,121.639,123.627,127.162,134.004,139.037,142.036,144.4,146.791,149.258,
Other advanced economies (Advanced economies excluding G7 and euro area),"Gross domestic product, deflator","Index, 2000=100",,,25.762,29.44,33.267,37.13,44.038,49.912,52.893,55.836,59.364,63.196,67.351,71.155,73.824,76.547,79.382,82.352,85.072,87.429,89.599,89.82,91.92,93.793,95.075,96.288,98.221,100,101.746,104.517,107.357,108.978,111.139,112.939,114.245,115.674,116.913,118.956,120.178,122.361,124.323,125.386,126.569,131.009,138.699,142.864,145.562,148.565,151.592,154.676,
Advanced economies,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,,"26,565.80","26,867.16","26,732.56","27,394.62","28,532.58","29,411.79","30,191.55","31,140.11","32,404.54","33,446.36","34,167.94","34,381.41","34,747.31","34,742.53","35,645.38","36,184.95","37,031.61","38,086.77","38,907.53","40,055.50","41,424.80","41,809.08","42,218.85","42,793.63","43,909.51","44,844.16","45,918.56","46,845.88","46,670.91","44,821.15","45,963.16","46,501.48","46,809.62","47,239.22","47,952.98","48,789.21","49,403.67","50,408.99","51,341.46","52,022.53","49,472.52","51,986.47","53,113.45","53,566.62","54,290.80","55,191.42","56,099.04","56,908.50",
Major advanced economies (G7),"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,,"28,676.13","29,040.38","28,840.53","29,624.94","30,926.22","31,919.15","32,714.99","33,669.55","35,028.93","36,096.25","36,776.86","36,890.26","37,374.02","37,501.73","38,370.88","39,074.88","39,888.70","40,907.49","41,820.03","42,887.79","44,219.75","44,489.93","44,739.63","45,290.36","46,322.23","47,202.85","48,148.65","48,850.51","48,546.81","46,492.93","47,598.98","48,133.26","48,556.68","49,004.96","49,658.96","50,422.83","50,940.32","51,865.86","52,758.75","53,428.38","50,644.65","53,132.05","54,104.72","54,442.86","55,026.58","55,882.19","56,764.28","57,521.50",
Other advanced economies (Advanced economies excluding G7 and euro area),"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,,"17,154.93","17,613.39","17,731.10","18,168.60","19,132.71","19,762.42","20,621.26","21,683.96","22,579.24","23,353.30","24,062.53","24,586.25","25,236.89","25,977.07","27,251.76","27,945.25","28,974.38","30,025.75","30,038.83","31,427.00","32,971.13","33,480.97","34,544.78","35,291.67","36,901.63","38,189.45","39,700.88","41,375.93","41,684.40","40,920.63","42,968.52","44,057.34","44,643.82","45,436.48","46,419.91","47,111.52","47,952.17","49,129.44","50,139.81","50,756.18","49,600.08","52,288.78","53,568.13","54,533.27","55,667.39","56,713.42","57,759.04","58,782.76",
European Union,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,,"24,921.30","24,817.33","24,875.48","25,221.65","25,801.09","26,315.15","26,948.22","27,578.98","28,535.99","29,436.24","30,007.82","30,251.92","30,048.12","29,468.56","30,197.29","30,643.39","31,194.61","31,960.16","32,872.89","33,759.81","35,034.26","35,770.82","36,143.61","36,420.49","37,282.24","37,914.91","39,188.89","40,352.10","40,582.79","38,754.25","39,505.95","40,147.34","39,804.85","39,759.25","40,361.37","41,224.54","41,994.13","43,185.36","44,058.07","44,844.94","42,224.01","44,513.85","45,856.98","46,085.45","46,982.42","47,952.88","48,852.69","49,660.82",
